external_evidence_id,publication_id,EnsemblID,displayed_gene_symbol,disease_context,histology_specificity,evidence_domain,evidence_type,experimental_modality,biological_question,model_system,dataset_or_cohort,intervention_or_perturbation,comparator,outcome,direction_of_observation,qualitative_result,quantitative_result,statistical_result,source_location,evidence_status,major_limitation,provenance_completeness_status
EXT_31024988_11,PUB_PMID_31024988,ENSG00000099953.9,MMP11,lung adenocarcinoma,LUAD_SPECIFIC,F_IN_VIVO,GENETIC_XENOGRAFT,subcutaneous xenograft,Does MMP11 depletion alter xenograft growth?,A549 xenograft in female BALB/c nude mice,MODEL_A549_XENOGRAFT_KO,MMP11-depleted A549 cells,Control A549 cells,Tumour volume,DECREASED_AFTER_DEPLETION,Control tumours were reported approximately four times larger at day 30.,n=8 per stated experiment,p<0.001,Figure 7A,OBSERVED_SUPPORTIVE,Subcutaneous immunodeficient-mouse model does not establish patient efficacy.,COMPLETE_PRIMARY_SOURCE_TRACE
EXT_31024988_12,PUB_PMID_31024988,ENSG00000099953.9,MMP11,lung adenocarcinoma,LUAD_SPECIFIC,G_INTERVENTION,ANTIBODY_XENOGRAFT,preclinical antibody intervention,Does anti-MMP11 antibody exposure alter xenograft growth?,A549 xenograft in female BALB/c nude mice,MODEL_A549_XENOGRAFT_AB,"1 mg/kg IV every four days, four administrations",Control treatment,Tumour volume,DECREASED_WITH_ANTIBODY,Antibody treatment reduced tumour growth.,>60% reduction reported; n=8,p<0.001,Figure 7B,OBSERVED_SUPPORTIVE,"Preclinical model only; efficacy, specificity, exposure, and safety require further study.",COMPLETE_PRIMARY_SOURCE_TRACE
EXT_36756152_01,PUB_PMID_36756152,ENSG00000099953.9,MMP11,lung adenocarcinoma,LUAD_SPECIFIC,A_TRANSCRIPTOMIC_EXPRESSION,TCGA_REANALYSIS,RNA-seq reanalysis,Is MMP11 higher in LUAD and EGFR-mutant LUAD?,TCGA-LUAD,TCGA-LUAD,NONE,Normal lung and EGFR-wild-type LUAD,MMP11 expression,TUMOUR_HIGHER_AND_EGFR_MUTANT_HIGHER,MMP11 was higher in tumour and modestly higher in EGFR-mutant cases.,512 cases with known EGFR status; 59 normals,Tumour vs normal p<0.001; mutant vs wild type p<0.05,Results/Figure 1,OBSERVED_SUPPORTIVE,Shares TCGA-LUAD lineage with Task #039A and the 2019 TCGA reanalysis.,COMPLETE_PRIMARY_SOURCE_TRACE
EXT_36756152_02,PUB_PMID_36756152,ENSG00000099953.9,MMP11,lung adenocarcinoma,LUAD_SPECIFIC,C_CLINICAL_ASSOCIATION,EGFR_SUBTYPE_COMPARISON,TCGA subgroup analysis,Does MMP11 differ across EGFR mutation subtypes?,TCGA-LUAD EGFR-mutant subset,TCGA-LUAD,NONE,"Exon 19 deletion, L858R, uncommon, compound subtypes",MMP11 expression,NO_OVERALL_SUBTYPE_DIFFERENCE,No overall difference among EGFR-mutant subtypes was reported.,19 exon19del; 18 L858R; 18 uncommon; 11 compound,overall p>0.05,Results/Figure 1F,OBSERVED_NULL,Small subtype groups and shared TCGA cohort.,COMPLETE_PRIMARY_SOURCE_TRACE
EXT_36756152_03,PUB_PMID_36756152,ENSG00000099953.9,MMP11,lung adenocarcinoma,LUAD_SPECIFIC,B_PROTEIN_TISSUE,CLINICAL_IHC,immunohistochemistry,Is MMP11 protein higher in EGFR-mutant LUAD?,Resected human LUAD,COHORT_2023_LUAD_37,NONE,EGFR-wild-type LUAD,MMP11 IHC,HIGHER_IN_EGFR_MUTANT,Higher MMP11 IHC was reported in EGFR-mutant cases.,20 mutant mean 5.45; 17 wild type mean 2.353,p<0.001,Results/Figure 2,OBSERVED_SUPPORTIVE,Single-centre small retrospective cohort.,COMPLETE_PRIMARY_SOURCE_TRACE
EXT_36756152_04,PUB_PMID_36756152,ENSG00000099953.9,MMP11,lung adenocarcinoma,LUAD_SPECIFIC,E_MECHANISTIC,IMMUNE_CORRELATION,computational immune deconvolution,Is MMP11 associated with activated CD8 and NK-cell estimates?,TCGA-LUAD,TCGA-LUAD,NONE,Lower-MMP11 cases,Estimated activated immune-cell abundance,LOWER_WITH_HIGH_MMP11,High-MMP11 cases had lower estimated activated CD8 and NK-cell abundance.,No causal effect size extracted,Source significance tests,Results/Figure 4,CONTEXT_DEPENDENT,Computational estimates from shared bulk TCGA data do not establish mechanism.,COMPLETE_PRIMARY_SOURCE_TRACE
EXT_36756152_05,PUB_PMID_36756152,ENSG00000099953.9,MMP11,lung adenocarcinoma,LUAD_SPECIFIC,B_PROTEIN_TISSUE,IMMUNE_IHC,patient-tissue immunostaining,Are CD8/NK observations reproduced in tissue?,Resected human LUAD,COHORT_2023_LUAD_37,NONE,MMP11-negative regions/cases,CD8 and NK-cell staining,LOWER_IN_MMP11_POSITIVE_CONTEXT,Tumour parenchyma with MMP11 positivity showed lower CD8/NK staining.,Cohort n=37,Source tests,Results/Figure 5,CONTEXT_DEPENDENT,Spatial association in the same clinical cohort is not causal.,COMPLETE_PRIMARY_SOURCE_TRACE
EXT_36756152_06,PUB_PMID_36756152,ENSG00000099953.9,MMP11,lung adenocarcinoma,LUAD_SPECIFIC,C_CLINICAL_ASSOCIATION,CYTOTOXIC_T_CELL_ASSOCIATION,computational association,Is MMP11 correlated with cytotoxic T-cell level?,LUAD computational cohort,TCGA-LUAD,NONE,Continuous MMP11 expression,Cytotoxic T-cell level,NO_ASSOCIATION,No statistically significant correlation was reported.,NOT_REPORTED_AS_EFFECT_SIZE,p=0.192,Results/immune analysis,OBSERVED_NULL,Computational estimate; shared TCGA dataset.,COMPLETE_PRIMARY_SOURCE_TRACE
EXT_36756152_07,PUB_PMID_36756152,ENSG00000099953.9,MMP11,lung adenocarcinoma,LUAD_SPECIFIC,C_CLINICAL_ASSOCIATION,ICB_BENEFIT_PREDICTION,TIDE/Kaplan-Meier analysis,Is MMP11 associated with clinical benefit of immune-checkpoint blockade?,LUAD computational prediction,TCGA-LUAD,NONE,MMP11-high vs low,Predicted/annotated ICB benefit,NO_ASSOCIATION,No significant association with clinical benefit was reported.,NOT_REPORTED_AS_EFFECT_SIZE,p=0.598,Results/Figure 6,OBSERVED_NULL,"TIDE is a computational predictor, not a prospective treatment cohort.",COMPLETE_PRIMARY_SOURCE_TRACE
EXT_36756152_08,PUB_PMID_36756152,ENSG00000099953.9,MMP11,lung adenocarcinoma,LUAD_SPECIFIC,C_CLINICAL_ASSOCIATION,TIDE_PREDICTION,computational prediction,Is MMP11 associated with TIDE score?,TCGA-LUAD,TCGA-LUAD,NONE,MMP11-low,TIDE score,HIGHER_TIDE_WITH_HIGH_MMP11,Higher TIDE scores were reported in the high-MMP11 group.,No clinical efficacy effect size,Source test,Results/Figure 6,CONTEXT_DEPENDENT,Predicted response metric must not be represented as observed clinical efficacy.,COMPLETE_PRIMARY_SOURCE_TRACE
EXT_40386736_01,PUB_PMID_40386736,ENSG00000099953.9,MMP11,NSCLC with LUAD subset,PARTIALLY_LUAD_SPECIFIC,A_TRANSCRIPTOMIC_EXPRESSION,MULTI_GEO_REANALYSIS,microarray reanalysis,Is MMP11 transcript abundance higher in lung-cancer datasets?,Human lung tumour transcriptomes,GSE33479|GSE18842|GSE32863,NONE,Non-tumour controls,MMP11 expression,TUMOUR_HIGHER,MMP11 was elevated in all three reanalysed datasets.,"AUCs 0.933, 0.984, 0.991",all p<0.001,Results/Figure 1,INSUFFICIENTLY_SPECIFIC,Only GSE32863 is LUAD-specific; other datasets include squamous or mixed histology.,COMPLETE_PRIMARY_SOURCE_TRACE
EXT_40386736_02,PUB_PMID_40386736,ENSG00000099953.9,MMP11,lung adenocarcinoma,LUAD_SPECIFIC,B_PROTEIN_TISSUE,TISSUE_LYSATE_ASSAY,protein assay,Is tissue MMP11 higher in adenocarcinoma than adjacent normal?,Human lung adenocarcinoma tissue,COHORT_2025_TISSUE_20,NONE,Adjacent normal,Tissue MMP11,TUMOUR_HIGHER,Adenocarcinoma tissue had higher MMP11 than adjacent normal.,39.50±3.31 vs 6.85±1.37,p<0.001,Results/tissue analysis,OBSERVED_SUPPORTIVE,Small tissue cohort; assay localization not resolved.,COMPLETE_PRIMARY_SOURCE_TRACE
EXT_40386736_03,PUB_PMID_40386736,ENSG00000099953.9,MMP11,NSCLC,NOT_LUAD_SEPARATED_FOR_PRIMARY_COMPARISON,B_PROTEIN_TISSUE,SERUM_ASSAY,serum protein assay,Is serum MMP11 higher in NSCLC than controls?,Human serum,COHORT_2025_SERUM_400,NONE,Healthy controls,Serum MMP11,HIGHER_IN_NSCLC,Serum MMP11 was higher in NSCLC.,200 NSCLC vs 200 controls; medians 40.55 vs 16.01 ng/mL,p<0.001,Results/Figure 3,INSUFFICIENTLY_SPECIFIC,Primary comparison combines adenocarcinoma and squamous cases.,COMPLETE_PRIMARY_SOURCE_TRACE
EXT_40386736_04,PUB_PMID_40386736,ENSG00000099953.9,MMP11,lung adenocarcinoma,LUAD_SPECIFIC,C_CLINICAL_ASSOCIATION,HISTOLOGY_COMPARISON,serum biomarker comparison,Does serum MMP11 distinguish adenocarcinoma from squamous NSCLC?,Human serum,COHORT_2025_SERUM_400,NONE,Squamous NSCLC,Serum MMP11,LOWER_IN_ADENOCARCINOMA_THAN_SQUAMOUS,Serum MMP11 was lower in adenocarcinoma than squamous cases.,Histology AUC 0.6634,p<0.001,Results/Figure 4,CONTEXT_DEPENDENT,Cross-sectional assay does not establish disease mechanism.,COMPLETE_PRIMARY_SOURCE_TRACE
EXT_39672019_01,PUB_PMID_39672019,ENSG00000099953.9,MMP11,lung adenocarcinoma,LUAD_SPECIFIC,A_TRANSCRIPTOMIC_EXPRESSION,SINGLE_CELL_MARKER,single-cell reanalysis,Is MMP11 observed among variable myofibroblast genes in LUAD?,Human LUAD single-cell data,LUAD_SC_DATASET_2025,NONE,Other fibroblast states,Marker-gene status,OBSERVED_AS_MYOFIBROBLAST_MARKER,MMP11 was one of three high-variance myofibroblast genes.,No source-normalized effect extracted,FindAllMarkers result,Results,CONTEXT_DEPENDENT,"Marker assignment is cell-state association, not target causality.",COMPLETE_PRIMARY_SOURCE_TRACE
EXT_39672019_02,PUB_PMID_39672019,ENSG00000099953.9,MMP11,lung adenocarcinoma,LUAD_SPECIFIC,C_CLINICAL_ASSOCIATION,PROGNOSTIC_ANALYSIS,survival association,Was MMP11 associated with LUAD prognosis in the tested signature genes?,Human LUAD cohort,LUAD_SURVIVAL_2025,NONE,Expression strata,Survival association,NO_ASSOCIATION_REPORTED,"Among CTHRC1, POSTN and MMP11, only POSTN correlated with prognosis.",NOT_REPORTED,MMP11 not significant,Abstract/Results,OBSERVED_NULL,"Source focuses mechanistically on POSTN, not MMP11.",COMPLETE_PRIMARY_SOURCE_TRACE
EXT_40552583_01,PUB_PMID_40552583,ENSG00000099953.9,MMP11,lung adenocarcinoma,LUAD_SPECIFIC,A_TRANSCRIPTOMIC_EXPRESSION,PAN_CANCER_SINGLE_CELL_REANALYSIS,single-cell reanalysis,Is an MMP11-positive myofibroblast state reported in a LUAD-resolved pan-cancer analysis?,Human pan-cancer single-cell datasets with LUAD-resolved analysis,LUAD_PANCANCER_SC_2025,NONE,Source-defined stromal states,MMP11-positive myofibroblast state,OBSERVED_IN_LUAD_RESOLVED_REANALYSIS,The bladder-primary publication reported an MMP11-positive myofibroblast state in its LUAD-resolved pan-cancer analysis.,No Task #039B-normalized effect size,Source-defined analysis,LUAD-resolved pan-cancer results,CONTEXT_DEPENDENT,The publication's primary experimental context is bladder cancer; no MMP11 perturbation was performed in LUAD.,COMPLETE_PRIMARY_SOURCE_TRACE
EXT_34671675_01,PUB_PMID_34671675,ENSG00000099953.9,MMP11,lung cancer,HISTOLOGY_INCOMPLETELY_REPORTED,A_TRANSCRIPTOMIC_EXPRESSION,GEO_REANALYSIS,microarray reanalysis,Is MMP11 among upregulated genes in a paired lung-cancer cohort?,Nonsmoking female lung tumours,GSE19804,NONE,Paired normal lung,MMP11 expression,TUMOUR_HIGHER,MMP11 was included among 39 upregulated genes.,60 tumour and 60 paired normal samples,Study-defined differential expression,Results/network module,INSUFFICIENTLY_SPECIFIC,Publication does not fully resolve LUAD histology for every sample.,COMPLETE_PRIMARY_SOURCE_TRACE
EXT_34671675_02,PUB_PMID_34671675,ENSG00000099953.9,MMP11,lung cancer,UNRESOLVED,C_CLINICAL_ASSOCIATION,SURVIVAL_REANALYSIS,Kaplan-Meier web-tool analysis,Is high MMP11 associated with survival in the queried lung cohort?,Lung-cancer survival cohort,KM_PLOTTER_2021,NONE,Low MMP11,Overall survival,WORSE_WITH_HIGH_MMP11,High MMP11 was associated with lower survival.,n=168; HR=4.93,Source figure,Figure 6e,INSUFFICIENTLY_SPECIFIC,Underlying cohort composition and accession are not fully traceable in the paper.,COMPLETE_PRIMARY_SOURCE_TRACE
EXT_35422093_01,PUB_PMID_35422093,ENSG00000099953.9,MMP11,lung adenocarcinoma,LUAD_SPECIFIC,E_MECHANISTIC,SMALL_COHORT_MICROARRAY,expression profiling,Which genes are altered in LUAD with low USP15?,Four primary LUAD samples,COHORT_2022_LUAD_4,Low-USP15 context,Comparator context in study,MMP11 transcript,HIGHER_IN_LOW_USP15_CONTEXT,MMP11 was among significantly upregulated genes.,n=4,Study-defined significance,Results/supplementary microarray,CONTEXT_DEPENDENT,Very small cohort; MMP11 was not directly perturbed.,COMPLETE_PRIMARY_SOURCE_TRACE
EXT_29568911_01,PUB_PMID_29568911,ENSG00000099953.9,MMP11,lung adenocarcinoma,LUAD_SPECIFIC,E_MECHANISTIC,REGULATORY_AXIS,miRNA/KLF4 perturbation,Does miR-25/KLF4 perturbation alter MMP11 readout?,A549 and Calu-1 cells,MODEL_MIR25_A549_CALU1,miR-25 inhibition/overexpression and KLF4 manipulation,Matched controls,MMP11 expression and invasion,MMP11_TRACKED_INVASIVE_PHENOTYPE,MMP11 decreased with miR-25 inhibition and increased in the reciprocal context.,No independent MMP11-mediated effect isolated,Source tests,Results/Figures,CONTEXT_DEPENDENT,MMP11 was a downstream readout and was not itself perturbed; Calu-1 is not LUAD.,COMPLETE_PRIMARY_SOURCE_TRACE
EXT_29796998_01,PUB_PMID_29796998,ENSG00000099953.9,MMP11,lung adenocarcinoma,LUAD_SPECIFIC,B_PROTEIN_TISSUE,PATIENT_DERIVED_STROMAL_MODEL,cell isolation and co-culture,Do LUAD tumour-derived MSCs display an MMP11-positive CAF-like phenotype?,MSCs from one LUAD patient plus A549 co-culture,COHORT_2018_ONE_PATIENT,Tumour-derived vs healthy-tissue MSCs,Healthy-tissue MSCs,CAF-marker expression,MMP11_HIGHER_IN_TUMOUR_DERIVED_MSCS,MMP11 was among CAF-related markers higher in tumour-derived MSCs.,One patient,Reported significant marker difference,Results/Abstract,CONTEXT_DEPENDENT,Single-patient stromal model; MMP11-specific functional contribution was not tested.,COMPLETE_PRIMARY_SOURCE_TRACE
EXT_31570432_01,PUB_PMID_31570432,ENSG00000099953.9,MMP11,lung cancer,NOT_LUAD_SEPARATED,C_CLINICAL_ASSOCIATION,GERMLINE_CASE_CONTROL,genotyping,Are four MMP11 promoter variants associated with lung-cancer susceptibility?,Taiwanese lung-cancer cases and controls,COHORT_2019_GENOTYPE_1074,NONE,Healthy controls,Lung-cancer risk,NO_ASSOCIATION,"No association was found for rs738791, rs2267029, rs738792, or rs28382575.",358 cases; 716 controls,rs738791 trend p=0.5638; other tests null,Abstract/Results,OBSERVED_NULL,Histology-specific LUAD estimates were not reported.,COMPLETE_PRIMARY_SOURCE_TRACE
EXT_30825234_01,PUB_PMID_30825234,ENSG00000099953.9,MMP11,NSCLC,NOT_LUAD_SEPARATED,E_MECHANISTIC,CORRELATIONAL_TISSUE_ANALYSIS,expression correlation,Is SPOCK1 expression correlated with MMP11 in NSCLC tissue?,Human NSCLC tissue,COHORT_SPOCK1_NSCLC,SPOCK1 context,Normal tissue,MMP11 correlation,POSITIVE_CORRELATION,SPOCK1 overexpression was positively correlated with MMP11 and TGF-beta1.,NOT_REPORTED,Source reports correlation,Abstract/Results,CONTEXT_DEPENDENT,MMP11 was not perturbed and LUAD histology was not separated.,COMPLETE_PRIMARY_SOURCE_TRACE
EXT_37602450_01,PUB_PMID_37602450,ENSG00000099953.9,MMP11,lung cancer,UNRESOLVED,D_FUNCTIONAL_PERTURBATION,AXIS_RESCUE,lncRNA knockdown and MMP11 overexpression rescue,Can MMP11 overexpression offset effects of linc00511 silencing?,Lung-cancer cells,MODEL_LINC00511_UNRESOLVED,linc00511 knockdown; miR-16-5p inhibition or MMP11 overexpression,Matched controls,Malignant phenotypes,PARTIAL_OR_REPORTED_RESCUE,MMP11 overexpression was reported to offset suppressive effects of linc00511 silencing.,NOT_REPORTED_IN_ABSTRACT,Source tests,Abstract/Results,INSUFFICIENTLY_SPECIFIC,Cell-line identity and LUAD histology are not explicit enough in accessible source text.,COMPLETE_PRIMARY_SOURCE_TRACE
EXT_39904499_01,PUB_PMID_39904499,ENSG00000099953.9,MMP11,ALK-rearranged NSCLC,NOT_LUAD_ESTABLISHED,E_MECHANISTIC,SINGLE_CELL_TREATMENT_CONTEXT,single-cell RNA-seq,Does alectinib treatment alter Mmp11 in stromal cells?,ALK-rearranged NSCLC/host stromal models,MODEL_ALK_ALECTINIB,Alectinib,Pretreatment/control,CAF Mmp11 expression,INCREASED_DURING_TREATMENT,CAFs substantially upregulated Mmp11 during alectinib treatment.,NOT_REPORTED_AS_EFFECT_SIZE,Source analysis,Abstract/Results,CONTEXT_DEPENDENT,MMP11 was not perturbed; histology and species/source-cell distinctions limit LUAD inference.,COMPLETE_PRIMARY_SOURCE_TRACE
EXT_40826767_01,PUB_PMID_40826767,ENSG00000099953.9,MMP11,lung adenocarcinoma,LUAD_SPECIFIC,A_TRANSCRIPTOMIC_EXPRESSION,DERIVED_GEO_REANALYSIS,integrative bioinformatics,Is MMP11 among shared COPD/LUAD/LUSC expression features?,Human GEO transcriptomes,GSE76925|GSE18842|GSE10072,NONE,Disease-specific controls,Shared DEG/hub status,OBSERVED_AS_SHARED_DEG,MMP11 was identified among 15 shared DEGs and as a network hub.,No source-native effect extracted,Study-defined thresholds,Abstract/Results,CONTEXT_DEPENDENT,Reuses GSE10072 and GSE18842; network hub status is not causal evidence.,COMPLETE_PRIMARY_SOURCE_TRACE
EXT_41804162_01,PUB_PMID_41804162,ENSG00000099953.9,MMP11,lung adenocarcinoma,LUAD_SPECIFIC,E_MECHANISTIC,COMPOUND_EXPOSURE_READOUT,RT-qPCR after multi-target compound exposure,Does cirsimarin exposure alter MMP11 transcript in A549 cells?,A549 LUAD cells in 2D culture,MODEL_CIRSIMARIN_A549,Cirsimarin 1-80 micromolar,Vehicle/control,MMP11 transcript and migration,MMP11_DECREASED_WITH_EXPOSURE,Cirsimarin reduced migration and multiple genes including MMP11.,MMP11 0.04-fold; migration inhibited,Source tests,Abstract/Results,CONTEXT_DEPENDENT,"Multi-target, partly cytotoxic exposure; no MMP11 mediation or direct binding test.",COMPLETE_PRIMARY_SOURCE_TRACE
EXT_41654000_01,PUB_PMID_41654000,ENSG00000099953.9,MMP11,NSCLC with interstitial pneumonia,NON_TUMOUR_CONTEXT,E_MECHANISTIC,DRUG_EXPOSURE_NON_TUMOUR_TISSUE,RNA-seq,Does nintedanib exposure alter MMP11 in non-tumour lung?,Non-tumour lung from NSCLC patients with interstitial pneumonia,COHORT_NINTEDANIB_NON_TUMOUR,Preoperative nintedanib,Untreated fibrotic/non-IP tissue,MMP11 transcript,INCREASED_AFTER_NINTEDANIB,MMP11 was upregulated in non-tumour lung after nintedanib.,7 treated non-tumour samples stated,Study-defined differential expression,Abstract/Results,INSUFFICIENTLY_SPECIFIC,Non-tumour fibrotic/inflammatory tissue context; not evidence of LUAD-tumour response.,COMPLETE_PRIMARY_SOURCE_TRACE
EXT_10741738_01,PUB_PMID_10741738,ENSG00000099953.9,MMP11,NSCLC,NOT_LUAD_SEPARATED,A_TRANSCRIPTOMIC_EXPRESSION,TUMOUR_NORMAL_TISSUE,Northern blot,Is MMP11 higher in resected NSCLC than matched normal lung?,Human NSCLC tissue,COHORT_2000_NSCLC_119,NONE,Adjacent normal,MMP11 RNA,TUMOUR_HIGHER,MMP11 was increased in tumour tissue.,Average tumour:normal ratio 83.5; 30 matched pairs within 119 cases,Reported significant,Abstract/Results,INSUFFICIENTLY_SPECIFIC,Mixed NSCLC histologies; LUAD-specific estimate unavailable.,COMPLETE_PRIMARY_SOURCE_TRACE
EXT_10741738_02,PUB_PMID_10741738,ENSG00000099953.9,MMP11,NSCLC,NOT_LUAD_SEPARATED,C_CLINICAL_ASSOCIATION,LYMPH_NODE_ASSOCIATION,clinicopathological association,Is MMP11 tumour:normal ratio associated with lymph-node involvement?,Human NSCLC tissue,COHORT_2000_NSCLC_119,NONE,Node-negative disease,Lymph-node involvement,POSITIVE_ASSOCIATION,Higher ratio was linked to nodal involvement.,NOT_REPORTED,p<0.05,Abstract/Results,INSUFFICIENTLY_SPECIFIC,Mixed histology and observational association.,COMPLETE_PRIMARY_SOURCE_TRACE
